Loading FlatGraph from /home/tuero/Documents/cmput-658/a3/PRAStar/scenarios/wc3maps512/tranquilpaths.flat_graph.nop
Solution from (110,211), to (108,214). Optimal cost: 3.82843, Found cost: 3.82843, Expanded: 4, Generated: 16, Total duration: 1.9127e-05, First move duration: 1.9127e-05
Solution from (85,152), to (83,152). Optimal cost: 2, Found cost: 2, Expanded: 3, Generated: 11, Total duration: 9.11e-06, First move duration: 9.11e-06
Solution from (262,359), to (261,359). Optimal cost: 1, Found cost: 1, Expanded: 2, Generated: 8, Total duration: 7.043e-06, First move duration: 7.043e-06
Solution from (86,273), to (86,274). Optimal cost: 1, Found cost: 1, Expanded: 2, Generated: 5, Total duration: 5.405e-06, First move duration: 5.405e-06
Solution from (320,134), to (322,135). Optimal cost: 2.41421, Found cost: 2.41421, Expanded: 3, Generated: 13, Total duration: 1.1709e-05, First move duration: 1.1709e-05
Solution from (164,270), to (166,269). Optimal cost: 2.41421, Found cost: 2.41421, Expanded: 3, Generated: 13, Total duration: 1.2316e-05, First move duration: 1.2316e-05
Solution from (249,411), to (250,413). Optimal cost: 2.41421, Found cost: 2.41421, Expanded: 3, Generated: 13, Total duration: 9.932e-06, First move duration: 9.932e-06
Solution from (243,98), to (242,101). Optimal cost: 3.41421, Found cost: 3.41421, Expanded: 4, Generated: 16, Total duration: 1.4196e-05, First move duration: 1.4196e-05
Solution from (330,255), to (332,257). Optimal cost: 2.82843, Found cost: 2.82843, Expanded: 3, Generated: 13, Total duration: 1.0079e-05, First move duration: 1.0079e-05
Solution from (67,314), to (66,311). Optimal cost: 3.41421, Found cost: 3.41421, Expanded: 4, Generated: 16, Total duration: 1.2772e-05, First move duration: 1.2772e-05
Solution from (218,114), to (219,118). Optimal cost: 4.41421, Found cost: 4.41421, Expanded: 5, Generated: 19, Total duration: 1.6795e-05, First move duration: 1.6795e-05
Solution from (240,173), to (238,179). Optimal cost: 6.82843, Found cost: 6.82843, Expanded: 7, Generated: 27, Total duration: 0.000858778, First move duration: 0.000858778
Solution from (149,368), to (143,365). Optimal cost: 7.24264, Found cost: 7.24264, Expanded: 7, Generated: 28, Total duration: 2.3783e-05, First move duration: 2.3783e-05
Solution from (91,229), to (95,226). Optimal cost: 5.24264, Found cost: 5.24264, Expanded: 5, Generated: 23, Total duration: 1.5959e-05, First move duration: 1.5959e-05
Solution from (55,319), to (50,316). Optimal cost: 6.24264, Found cost: 6.24264, Expanded: 6, Generated: 21, Total duration: 1.4633e-05, First move duration: 1.4633e-05
Solution from (209,346), to (210,340). Optimal cost: 6.41421, Found cost: 6.41421, Expanded: 7, Generated: 25, Total duration: 2.2692e-05, First move duration: 2.2692e-05
Solution from (297,273), to (295,277). Optimal cost: 4.82843, Found cost: 4.82843, Expanded: 5, Generated: 21, Total duration: 1.756e-05, First move duration: 1.756e-05
Solution from (379,342), to (374,338). Optimal cost: 6.65685, Found cost: 6.65685, Expanded: 6, Generated: 28, Total duration: 2.3552e-05, First move duration: 2.3552e-05
Solution from (193,298), to (198,298). Optimal cost: 5, Found cost: 5, Expanded: 6, Generated: 20, Total duration: 1.5664e-05, First move duration: 1.5664e-05
Solution from (132,437), to (128,437). Optimal cost: 4, Found cost: 4, Expanded: 5, Generated: 17, Total duration: 1.4098e-05, First move duration: 1.4098e-05
Solution from (287,247), to (296,242). Optimal cost: 11.0711, Found cost: 11.0711, Expanded: 10, Generated: 42, Total duration: 3.3213e-05, First move duration: 3.3213e-05
Solution from (376,216), to (386,217). Optimal cost: 10.4142, Found cost: 10.4142, Expanded: 11, Generated: 37, Total duration: 3.3624e-05, First move duration: 3.3624e-05
Solution from (182,293), to (191,291). Optimal cost: 9.82843, Found cost: 9.82843, Expanded: 10, Generated: 36, Total duration: 2.3808e-05, First move duration: 2.3808e-05
Solution from (220,432), to (214,427). Optimal cost: 8.07107, Found cost: 8.07107, Expanded: 7, Generated: 33, Total duration: 2.5723e-05, First move duration: 2.5723e-05
Solution from (129,171), to (118,170). Optimal cost: 11.4142, Found cost: 11.4142, Expanded: 12, Generated: 40, Total duration: 3.305e-05, First move duration: 3.305e-05
Solution from (268,231), to (262,223). Optimal cost: 10.4853, Found cost: 10.4853, Expanded: 9, Generated: 41, Total duration: 2.9453e-05, First move duration: 2.9453e-05
Solution from (81,272), to (74,265). Optimal cost: 9.89949, Found cost: 9.89949, Expanded: 8, Generated: 38, Total duration: 2.6094e-05, First move duration: 2.6094e-05
Solution from (75,355), to (67,354). Optimal cost: 10.4142, Found cost: 10.4142, Expanded: 27, Generated: 60, Total duration: 5.5898e-05, First move duration: 5.5898e-05
Solution from (392,183), to (401,187). Optimal cost: 10.6569, Found cost: 10.6569, Expanded: 10, Generated: 40, Total duration: 3.1641e-05, First move duration: 3.1641e-05
Solution from (127,299), to (126,309). Optimal cost: 10.4142, Found cost: 10.4142, Expanded: 11, Generated: 37, Total duration: 3.1706e-05, First move duration: 3.1706e-05
Solution from (134,303), to (144,297). Optimal cost: 12.4853, Found cost: 12.4853, Expanded: 11, Generated: 47, Total duration: 3.3801e-05, First move duration: 3.3801e-05
Solution from (153,427), to (164,433). Optimal cost: 13.4853, Found cost: 13.4853, Expanded: 12, Generated: 48, Total duration: 3.7933e-05, First move duration: 3.7933e-05
Solution from (205,384), to (217,376). Optimal cost: 15.3137, Found cost: 15.3137, Expanded: 36, Generated: 111, Total duration: 8.8076e-05, First move duration: 8.8076e-05
Solution from (384,339), to (378,329). Optimal cost: 12.4853, Found cost: 12.4853, Expanded: 11, Generated: 47, Total duration: 4.4464e-05, First move duration: 4.4464e-05
Solution from (376,309), to (379,321). Optimal cost: 13.2426, Found cost: 13.2426, Expanded: 13, Generated: 47, Total duration: 4.1387e-05, First move duration: 4.1387e-05
Solution from (248,337), to (258,342). Optimal cost: 12.0711, Found cost: 12.0711, Expanded: 11, Generated: 45, Total duration: 3.1974e-05, First move duration: 3.1974e-05
Solution from (210,447), to (200,442). Optimal cost: 12.0711, Found cost: 12.0711, Expanded: 11, Generated: 45, Total duration: 3.8502e-05, First move duration: 3.8502e-05
Solution from (410,109), to (414,123). Optimal cost: 15.6569, Found cost: 15.6569, Expanded: 15, Generated: 55, Total duration: 4.7283e-05, First move duration: 4.7283e-05
Solution from (162,199), to (165,185). Optimal cost: 15.2426, Found cost: 15.2426, Expanded: 16, Generated: 55, Total duration: 5.2047e-05, First move duration: 5.2047e-05
Solution from (334,92), to (323,97). Optimal cost: 13.0711, Found cost: 13.0711, Expanded: 12, Generated: 48, Total duration: 3.8886e-05, First move duration: 3.8886e-05
Solution from (214,342), to (201,332). Optimal cost: 17.1421, Found cost: 17.1421, Expanded: 37, Generated: 109, Total duration: 9.3336e-05, First move duration: 9.3336e-05
Solution from (154,434), to (139,424). Optimal cost: 19.1421, Found cost: 19.1421, Expanded: 39, Generated: 115, Total duration: 0.000115435, First move duration: 0.000115435
Solution from (360,257), to (364,272). Optimal cost: 16.6569, Found cost: 16.6569, Expanded: 16, Generated: 58, Total duration: 5.3333e-05, First move duration: 5.3333e-05
Solution from (241,102), to (258,102). Optimal cost: 17, Found cost: 17, Expanded: 18, Generated: 56, Total duration: 5.2492e-05, First move duration: 5.2492e-05
Solution from (406,295), to (390,286). Optimal cost: 19.7279, Found cost: 19.7279, Expanded: 40, Generated: 114, Total duration: 8.9693e-05, First move duration: 8.9693e-05
Solution from (298,256), to (288,270). Optimal cost: 18.1421, Found cost: 18.1421, Expanded: 38, Generated: 112, Total duration: 0.000108644, First move duration: 0.000108644
Solution from (251,268), to (267,269). Optimal cost: 16.4142, Found cost: 16.4142, Expanded: 17, Generated: 55, Total duration: 4.2047e-05, First move duration: 4.2047e-05
Solution from (202,405), to (199,420). Optimal cost: 16.2426, Found cost: 16.2426, Expanded: 16, Generated: 52, Total duration: 5.0456e-05, First move duration: 5.0456e-05
Solution from (93,327), to (108,330). Optimal cost: 16.2426, Found cost: 16.2426, Expanded: 16, Generated: 56, Total duration: 4.4103e-05, First move duration: 4.4103e-05
Solution from (310,134), to (324,128). Optimal cost: 16.4853, Found cost: 16.4853, Expanded: 15, Generated: 56, Total duration: 4.9036e-05, First move duration: 4.9036e-05
Solution from (173,386), to (172,409). Optimal cost: 23.4142, Found cost: 23.4142, Expanded: 24, Generated: 76, Total duration: 7.1725e-05, First move duration: 7.1725e-05
Solution from (396,421), to (409,439). Optimal cost: 23.3848, Found cost: 23.3848, Expanded: 61, Generated: 187, Total duration: 0.000161428, First move duration: 0.000161428
Solution from (222,170), to (239,176). Optimal cost: 20.0711, Found cost: 20.0711, Expanded: 34, Generated: 78, Total duration: 7.3077e-05, First move duration: 7.3077e-05
Solution from (198,287), to (208,269). Optimal cost: 22.1421, Found cost: 22.1421, Expanded: 35, Generated: 101, Total duration: 8.9544e-05, First move duration: 8.9544e-05
Solution from (243,344), to (225,334). Optimal cost: 22.1421, Found cost: 22.1421, Expanded: 35, Generated: 111, Total duration: 9.2971e-05, First move duration: 9.2971e-05
Solution from (147,420), to (151,442). Optimal cost: 23.6569, Found cost: 23.6569, Expanded: 23, Generated: 79, Total duration: 7.7701e-05, First move duration: 7.7701e-05
Solution from (73,310), to (92,320). Optimal cost: 23.1421, Found cost: 23.1421, Expanded: 38, Generated: 117, Total duration: 9.6551e-05, First move duration: 9.6551e-05
Solution from (211,326), to (221,344). Optimal cost: 22.1421, Found cost: 22.1421, Expanded: 35, Generated: 111, Total duration: 0.000102321, First move duration: 0.000102321
Solution from (216,240), to (216,257). Optimal cost: 21.7279, Found cost: 21.7279, Expanded: 98, Generated: 210, Total duration: 0.000194604, First move duration: 0.000194604
Solution from (275,263), to (267,243). Optimal cost: 23.3137, Found cost: 23.3137, Expanded: 49, Generated: 137, Total duration: 0.000125928, First move duration: 0.000125928
Solution from (258,272), to (279,256). Optimal cost: 27.6274, Found cost: 27.6274, Expanded: 91, Generated: 283, Total duration: 0.000211974, First move duration: 0.000211974
Solution from (146,406), to (165,393). Optimal cost: 24.3848, Found cost: 24.3848, Expanded: 70, Generated: 208, Total duration: 0.000173155, First move duration: 0.000173155
Solution from (103,168), to (82,182). Optimal cost: 26.799, Found cost: 26.799, Expanded: 104, Generated: 335, Total duration: 0.000263616, First move duration: 0.000263616
Solution from (195,315), to (173,309). Optimal cost: 24.4853, Found cost: 24.4853, Expanded: 23, Generated: 83, Total duration: 7.3649e-05, First move duration: 7.3649e-05
Solution from (357,136), to (380,144). Optimal cost: 26.3137, Found cost: 26.3137, Expanded: 69, Generated: 215, Total duration: 0.0001782, First move duration: 0.0001782
Solution from (90,369), to (84,347). Optimal cost: 24.4853, Found cost: 24.4853, Expanded: 23, Generated: 83, Total duration: 8.0783e-05, First move duration: 8.0783e-05
Solution from (390,394), to (384,419). Optimal cost: 27.4853, Found cost: 27.4853, Expanded: 26, Generated: 92, Total duration: 8.8008e-05, First move duration: 8.8008e-05
Solution from (287,271), to (287,244). Optimal cost: 27, Found cost: 27, Expanded: 28, Generated: 86, Total duration: 8.1937e-05, First move duration: 8.1937e-05
Solution from (209,321), to (194,302). Optimal cost: 25.799, Found cost: 25.799, Expanded: 76, Generated: 226, Total duration: 0.000173245, First move duration: 0.000173245
Solution from (248,412), to (253,387). Optimal cost: 27.0711, Found cost: 27.0711, Expanded: 26, Generated: 81, Total duration: 8.4906e-05, First move duration: 8.4906e-05
Solution from (279,301), to (286,327). Optimal cost: 28.8995, Found cost: 28.8995, Expanded: 27, Generated: 94, Total duration: 8.4242e-05, First move duration: 8.4242e-05
Solution from (198,441), to (217,424). Optimal cost: 29.5563, Found cost: 29.5563, Expanded: 92, Generated: 212, Total duration: 0.000230304, First move duration: 0.000230304
Solution from (264,234), to (288,249). Optimal cost: 30.2132, Found cost: 30.2132, Expanded: 124, Generated: 352, Total duration: 0.000257197, First move duration: 0.000257197
Solution from (302,346), to (294,373). Optimal cost: 30.3137, Found cost: 30.3137, Expanded: 113, Generated: 341, Total duration: 0.000265466, First move duration: 0.000265466
Solution from (88,157), to (112,146). Optimal cost: 29.7279, Found cost: 29.7279, Expanded: 80, Generated: 200, Total duration: 0.000178253, First move duration: 0.000178253
Solution from (239,168), to (230,140). Optimal cost: 31.7279, Found cost: 31.7279, Expanded: 118, Generated: 333, Total duration: 0.000269425, First move duration: 0.000269425
Solution from (209,460), to (224,437). Optimal cost: 29.2132, Found cost: 29.2132, Expanded: 112, Generated: 321, Total duration: 0.000305928, First move duration: 0.000305928
Solution from (161,413), to (157,384). Optimal cost: 30.6569, Found cost: 30.6569, Expanded: 44, Generated: 127, Total duration: 0.000119003, First move duration: 0.000119003
Solution from (257,403), to (258,375). Optimal cost: 28.4142, Found cost: 28.4142, Expanded: 29, Generated: 91, Total duration: 8.7209e-05, First move duration: 8.7209e-05
