Loading HierarchicalGraph from /home/tuero/Documents/cmput-658/a3/PRAStar/scenarios/wc3maps512/bloodvenomfalls.hierarchical_graph.nop
Solution from (394,138), to (397,137). Optimal cost: 3.41421, Found cost: 3.41421, Expanded: 42, Generated: 109, Total duration: 0.000106904, First move duration: 5.8219e-05
Solution from (337,87), to (336,84). Optimal cost: 3.41421, Found cost: 3.41421, Expanded: 40, Generated: 88, Total duration: 8.6706e-05, First move duration: 4.2975e-05
Solution from (138,355), to (138,357). Optimal cost: 2, Found cost: 2, Expanded: 24, Generated: 55, Total duration: 6.0855e-05, First move duration: 4.6015e-05
Solution from (178,83), to (181,83). Optimal cost: 3, Found cost: 3, Expanded: 38, Generated: 67, Total duration: 7.7739e-05, First move duration: 3.9783e-05
Solution from (260,63), to (262,65). Optimal cost: 2.82843, Found cost: 2.82843, Expanded: 22, Generated: 39, Total duration: 5.5246e-05, First move duration: 3.9564e-05
Solution from (339,349), to (338,346). Optimal cost: 3.41421, Found cost: 3.41421, Expanded: 34, Generated: 59, Total duration: 6.7162e-05, First move duration: 3.444e-05
Solution from (239,152), to (238,155). Optimal cost: 3.41421, Found cost: 3.41421, Expanded: 47, Generated: 135, Total duration: 0.000105345, First move duration: 5.1847e-05
Solution from (383,365), to (385,366). Optimal cost: 2.41421, Found cost: 2.41421, Expanded: 26, Generated: 61, Total duration: 6.104e-05, First move duration: 3.8569e-05
Solution from (224,287), to (227,286). Optimal cost: 3.41421, Found cost: 3.41421, Expanded: 34, Generated: 48, Total duration: 6.5173e-05, First move duration: 2.9414e-05
Solution from (172,291), to (173,289). Optimal cost: 2.41421, Found cost: 2.41421, Expanded: 24, Generated: 50, Total duration: 6.0848e-05, First move duration: 4.641e-05
Solution from (417,205), to (422,203). Optimal cost: 6.41421, Found cost: 6.41421, Expanded: 91, Generated: 178, Total duration: 0.000162283, First move duration: 4.8447e-05
Solution from (261,133), to (258,137). Optimal cost: 5.24264, Found cost: 5.24264, Expanded: 54, Generated: 146, Total duration: 0.000123968, First move duration: 5.8838e-05
Solution from (340,458), to (342,465). Optimal cost: 7.82843, Found cost: 7.82843, Expanded: 96, Generated: 223, Total duration: 0.000190957, First move duration: 5.1551e-05
Solution from (156,204), to (158,197). Optimal cost: 7.82843, Found cost: 7.82843, Expanded: 95, Generated: 197, Total duration: 0.000184621, First move duration: 5.2101e-05
Solution from (283,279), to (284,272). Optimal cost: 7.41421, Found cost: 7.41421, Expanded: 108, Generated: 257, Total duration: 0.000201736, First move duration: 5.9026e-05
Solution from (412,413), to (413,417). Optimal cost: 4.41421, Found cost: 4.41421, Expanded: 54, Generated: 122, Total duration: 0.000111212, First move duration: 4.3269e-05
Solution from (389,201), to (395,203). Optimal cost: 6.82843, Found cost: 8.82843, Expanded: 112, Generated: 242, Total duration: 0.000208197, First move duration: 4.5979e-05
Solution from (257,302), to (256,295). Optimal cost: 7.41421, Found cost: 8.24264, Expanded: 103, Generated: 217, Total duration: 0.000189063, First move duration: 5.3108e-05
Solution from (409,230), to (403,234). Optimal cost: 7.65685, Found cost: 9.41421, Expanded: 128, Generated: 304, Total duration: 0.000238215, First move duration: 4.9183e-05
Solution from (71,463), to (75,461). Optimal cost: 4.82843, Found cost: 4.82843, Expanded: 48, Generated: 94, Total duration: 0.000108601, First move duration: 4.4383e-05
Solution from (376,169), to (382,174). Optimal cost: 8.07107, Found cost: 8.65685, Expanded: 96, Generated: 213, Total duration: 0.000185373, First move duration: 4.8604e-05
Solution from (263,443), to (252,443). Optimal cost: 11, Found cost: 11.8284, Expanded: 215, Generated: 600, Total duration: 0.000387984, First move duration: 6.51e-05
Solution from (418,352), to (419,362). Optimal cost: 10.4142, Found cost: 10.4142, Expanded: 141, Generated: 336, Total duration: 0.000257458, First move duration: 5.247e-05
Solution from (203,397), to (199,405). Optimal cost: 9.65685, Found cost: 10.2426, Expanded: 133, Generated: 352, Total duration: 0.000257316, First move duration: 5.1139e-05
Solution from (127,281), to (118,281). Optimal cost: 9, Found cost: 9.82843, Expanded: 129, Generated: 327, Total duration: 0.000253316, First move duration: 5.0305e-05
Solution from (328,347), to (322,339). Optimal cost: 10.4853, Found cost: 11.0711, Expanded: 168, Generated: 466, Total duration: 0.000320768, First move duration: 6.8684e-05
Solution from (280,181), to (272,185). Optimal cost: 9.65685, Found cost: 10.2426, Expanded: 128, Generated: 303, Total duration: 0.000241916, First move duration: 4.9729e-05
Solution from (74,218), to (81,215). Optimal cost: 8.24264, Found cost: 8.24264, Expanded: 108, Generated: 266, Total duration: 0.000222283, First move duration: 6.0595e-05
Solution from (130,167), to (119,168). Optimal cost: 11.4142, Found cost: 11.4142, Expanded: 188, Generated: 613, Total duration: 0.000356448, First move duration: 5.955e-05
Solution from (185,395), to (175,391). Optimal cost: 11.6569, Found cost: 11.6569, Expanded: 148, Generated: 365, Total duration: 0.000289468, First move duration: 5.2715e-05
Solution from (413,354), to (423,363). Optimal cost: 13.7279, Found cost: 16.0711, Expanded: 223, Generated: 585, Total duration: 0.000415398, First move duration: 5.8206e-05
Solution from (151,182), to (143,170). Optimal cost: 15.3137, Found cost: 15.8995, Expanded: 244, Generated: 759, Total duration: 0.000475379, First move duration: 7.1368e-05
Solution from (309,258), to (299,253). Optimal cost: 12.0711, Found cost: 12.0711, Expanded: 161, Generated: 449, Total duration: 0.000307474, First move duration: 6.0024e-05
Solution from (229,379), to (220,385). Optimal cost: 13.2426, Found cost: 13.2426, Expanded: 194, Generated: 463, Total duration: 0.000341791, First move duration: 5.0353e-05
Solution from (248,77), to (252,91). Optimal cost: 15.6569, Found cost: 15.6569, Expanded: 230, Generated: 623, Total duration: 0.000446898, First move duration: 6.3643e-05
Solution from (338,192), to (338,180). Optimal cost: 12, Found cost: 12, Expanded: 210, Generated: 644, Total duration: 0.00038614, First move duration: 6.0211e-05
Solution from (138,201), to (135,189). Optimal cost: 13.2426, Found cost: 13.2426, Expanded: 214, Generated: 630, Total duration: 0.000413118, First move duration: 6.7055e-05
Solution from (343,211), to (334,222). Optimal cost: 14.7279, Found cost: 17.6569, Expanded: 279, Generated: 772, Total duration: 0.000511259, First move duration: 6.8654e-05
Solution from (349,261), to (337,258). Optimal cost: 13.2426, Found cost: 13.2426, Expanded: 207, Generated: 510, Total duration: 0.0003665, First move duration: 6.014e-05
Solution from (403,185), to (398,173). Optimal cost: 14.0711, Found cost: 14.8995, Expanded: 176, Generated: 387, Total duration: 0.000332819, First move duration: 4.3757e-05
Solution from (344,437), to (358,426). Optimal cost: 18.5563, Found cost: 19.7279, Expanded: 298, Generated: 864, Total duration: 0.000551495, First move duration: 6.4019e-05
Solution from (252,242), to (266,250). Optimal cost: 17.3137, Found cost: 18.4853, Expanded: 291, Generated: 796, Total duration: 0.000519207, First move duration: 5.5743e-05
Solution from (58,363), to (75,368). Optimal cost: 19.0711, Found cost: 25.5563, Expanded: 417, Generated: 1199, Total duration: 0.000751493, First move duration: 7.1534e-05
Solution from (352,381), to (356,363). Optimal cost: 19.6569, Found cost: 22.4853, Expanded: 346, Generated: 954, Total duration: 0.00062482, First move duration: 5.6786e-05
Solution from (428,122), to (441,110). Optimal cost: 17.9706, Found cost: 19.1421, Expanded: 256, Generated: 663, Total duration: 0.000472005, First move duration: 6.0122e-05
Solution from (454,436), to (442,426). Optimal cost: 16.1421, Found cost: 17.8995, Expanded: 261, Generated: 693, Total duration: 0.000482341, First move duration: 6.2541e-05
Solution from (353,282), to (342,268). Optimal cost: 18.5563, Found cost: 20.3137, Expanded: 295, Generated: 789, Total duration: 0.000535348, First move duration: 6.6272e-05
Solution from (303,132), to (290,142). Optimal cost: 17.1421, Found cost: 17.1421, Expanded: 231, Generated: 663, Total duration: 0.000450957, First move duration: 6.8519e-05
Solution from (75,248), to (87,263). Optimal cost: 19.9706, Found cost: 21.1421, Expanded: 310, Generated: 852, Total duration: 0.000585642, First move duration: 7.1726e-05
Solution from (149,110), to (164,114). Optimal cost: 18.8995, Found cost: 18.8995, Expanded: 307, Generated: 878, Total duration: 0.000568612, First move duration: 6.9035e-05
Solution from (360,282), to (344,266). Optimal cost: 22.6274, Found cost: 25.5563, Expanded: 354, Generated: 1027, Total duration: 0.000696495, First move duration: 6.1038e-05
Solution from (346,266), to (362,278). Optimal cost: 20.9706, Found cost: 20.9706, Expanded: 289, Generated: 867, Total duration: 0.000549418, First move duration: 4.9437e-05
Solution from (189,255), to (166,253). Optimal cost: 23.8284, Found cost: 24.6569, Expanded: 391, Generated: 978, Total duration: 0.00069477, First move duration: 6.676e-05
Solution from (85,469), to (74,451). Optimal cost: 22.5563, Found cost: 27.1421, Expanded: 429, Generated: 1151, Total duration: 0.000765674, First move duration: 6.1482e-05
Solution from (151,447), to (157,466). Optimal cost: 21.4853, Found cost: 22.3137, Expanded: 380, Generated: 1045, Total duration: 0.000671232, First move duration: 7.1872e-05
Solution from (48,344), to (49,367). Optimal cost: 23.4142, Found cost: 25.6569, Expanded: 410, Generated: 1034, Total duration: 0.000725184, First move duration: 6.0533e-05
Solution from (138,77), to (119,70). Optimal cost: 21.8995, Found cost: 21.8995, Expanded: 340, Generated: 897, Total duration: 0.000620049, First move duration: 5.6907e-05
Solution from (381,433), to (374,413). Optimal cost: 22.8995, Found cost: 23.7279, Expanded: 376, Generated: 922, Total duration: 0.000624792, First move duration: 5.7287e-05
Solution from (245,221), to (241,201). Optimal cost: 21.6569, Found cost: 23.0711, Expanded: 392, Generated: 1032, Total duration: 0.000685583, First move duration: 6.7483e-05
Solution from (342,137), to (338,158). Optimal cost: 22.6569, Found cost: 22.6569, Expanded: 350, Generated: 930, Total duration: 0.000637814, First move duration: 5.8414e-05
Solution from (243,167), to (262,148). Optimal cost: 26.8701, Found cost: 32.3848, Expanded: 527, Generated: 1350, Total duration: 0.000865171, First move duration: 5.8748e-05
Solution from (351,427), to (342,403). Optimal cost: 27.7279, Found cost: 32.3137, Expanded: 579, Generated: 1727, Total duration: 0.00103853, First move duration: 6.1573e-05
Solution from (353,356), to (329,351). Optimal cost: 26.0711, Found cost: 62.6985, Expanded: 1155, Generated: 3145, Total duration: 0.00195586, First move duration: 6.9873e-05
Solution from (271,349), to (264,326). Optimal cost: 25.8995, Found cost: 25.8995, Expanded: 385, Generated: 1057, Total duration: 0.0006861, First move duration: 5.6638e-05
Solution from (187,225), to (212,225). Optimal cost: 25, Found cost: 28.0711, Expanded: 556, Generated: 1779, Total duration: 0.0009777, First move duration: 7.9224e-05
Solution from (73,382), to (80,404). Optimal cost: 24.8995, Found cost: 25.4853, Expanded: 405, Generated: 1043, Total duration: 0.000725444, First move duration: 6.4584e-05
Solution from (208,132), to (232,129). Optimal cost: 25.2426, Found cost: 26.8995, Expanded: 462, Generated: 1304, Total duration: 0.000856897, First move duration: 6.7871e-05
Solution from (349,216), to (345,190). Optimal cost: 27.6569, Found cost: 29.3137, Expanded: 511, Generated: 1443, Total duration: 0.000849106, First move duration: 6.8402e-05
Solution from (358,166), to (380,153). Optimal cost: 27.3848, Found cost: 27.3848, Expanded: 411, Generated: 1218, Total duration: 0.000803552, First move duration: 6.4743e-05
Solution from (354,420), to (375,410). Optimal cost: 25.1421, Found cost: 25.1421, Expanded: 390, Generated: 1101, Total duration: 0.00070354, First move duration: 6.4834e-05
Solution from (292,241), to (273,264). Optimal cost: 30.8701, Found cost: 30.8701, Expanded: 423, Generated: 1251, Total duration: 0.000808093, First move duration: 6.109e-05
