Loading HierarchicalGraph from /home/tuero/Documents/cmput-658/a3/PRAStar/scenarios/wc3maps512/bootybay.hierarchical_graph.nop
Solution from (263,268), to (265,270). Optimal cost: 2.82843, Found cost: 3.41421, Expanded: 18, Generated: 55, Total duration: 4.4093e-05, First move duration: 4.4093e-05
Solution from (319,399), to (321,397). Optimal cost: 2.82843, Found cost: 2.82843, Expanded: 10, Generated: 19, Total duration: 2.0943e-05, First move duration: 2.0943e-05
Solution from (240,231), to (241,230). Optimal cost: 1.41421, Found cost: 1.41421, Expanded: 8, Generated: 8, Total duration: 1.2361e-05, First move duration: 1.2361e-05
Solution from (288,260), to (285,259). Optimal cost: 3.41421, Found cost: 3.41421, Expanded: 14, Generated: 38, Total duration: 2.8774e-05, First move duration: 2.8774e-05
Solution from (275,254), to (278,254). Optimal cost: 3, Found cost: 3, Expanded: 11, Generated: 22, Total duration: 1.8187e-05, First move duration: 1.8187e-05
Solution from (396,194), to (396,192). Optimal cost: 2, Found cost: 2, Expanded: 10, Generated: 18, Total duration: 1.8948e-05, First move duration: 1.8948e-05
Solution from (439,180), to (441,180). Optimal cost: 2, Found cost: 2, Expanded: 10, Generated: 19, Total duration: 1.9607e-05, First move duration: 1.9607e-05
Solution from (403,141), to (402,142). Optimal cost: 1.41421, Found cost: 1.41421, Expanded: 10, Generated: 18, Total duration: 2.0858e-05, First move duration: 2.0858e-05
Solution from (275,243), to (276,243). Optimal cost: 1, Found cost: 1, Expanded: 8, Generated: 8, Total duration: 1.3428e-05, First move duration: 1.3428e-05
Solution from (274,388), to (272,390). Optimal cost: 2.82843, Found cost: 2.82843, Expanded: 11, Generated: 28, Total duration: 2.3961e-05, First move duration: 2.3961e-05
Solution from (216,348), to (212,344). Optimal cost: 5.65685, Found cost: 5.65685, Expanded: 27, Generated: 86, Total duration: 6.814e-05, First move duration: 5.248e-05
Solution from (296,302), to (299,296). Optimal cost: 7.24264, Found cost: 7.82843, Expanded: 55, Generated: 135, Total duration: 0.000116562, First move duration: 8.0576e-05
Solution from (274,421), to (275,416). Optimal cost: 5.41421, Found cost: 5.41421, Expanded: 31, Generated: 74, Total duration: 7.13e-05, First move duration: 5.4961e-05
Solution from (92,139), to (90,144). Optimal cost: 5.82843, Found cost: 5.82843, Expanded: 30, Generated: 69, Total duration: 6.9065e-05, First move duration: 5.1016e-05
Solution from (251,356), to (248,353). Optimal cost: 4.24264, Found cost: 4.82843, Expanded: 26, Generated: 65, Total duration: 5.9092e-05, First move duration: 4.5032e-05
Solution from (395,185), to (401,184). Optimal cost: 6.41421, Found cost: 6.41421, Expanded: 31, Generated: 85, Total duration: 7.1613e-05, First move duration: 5.2093e-05
Solution from (351,249), to (356,249). Optimal cost: 5, Found cost: 5, Expanded: 32, Generated: 86, Total duration: 7.0702e-05, First move duration: 4.8139e-05
