Loading HierarchicalGraph from /home/tuero/Documents/cmput-658/a3/PRAStar/scenarios/wc3maps512/frostsabre.hierarchical_graph.nop
Solution from (157,226), to (158,227). Optimal cost: 1.41421, Found cost: 1.41421, Expanded: 9, Generated: 8, Total duration: 2.5612e-05, First move duration: 2.5612e-05
Solution from (248,333), to (249,332). Optimal cost: 1.41421, Found cost: 1.41421, Expanded: 12, Generated: 35, Total duration: 3.9033e-05, First move duration: 3.9033e-05
Solution from (338,437), to (337,437). Optimal cost: 1, Found cost: 1, Expanded: 8, Generated: 8, Total duration: 1.9097e-05, First move duration: 1.9097e-05
Solution from (320,300), to (318,299). Optimal cost: 2.41421, Found cost: 2.41421, Expanded: 11, Generated: 18, Total duration: 2.6111e-05, First move duration: 2.6111e-05
Solution from (142,245), to (140,247). Optimal cost: 3.41421, Found cost: 3.41421, Expanded: 13, Generated: 23, Total duration: 3.4898e-05, First move duration: 3.4898e-05
Solution from (132,207), to (133,207). Optimal cost: 1, Found cost: 1, Expanded: 9, Generated: 16, Total duration: 2.7543e-05, First move duration: 2.7543e-05
Solution from (155,365), to (156,366). Optimal cost: 1.41421, Found cost: 1.41421, Expanded: 9, Generated: 8, Total duration: 1.9691e-05, First move duration: 1.9691e-05
Solution from (330,437), to (332,435). Optimal cost: 2.82843, Found cost: 2.82843, Expanded: 12, Generated: 33, Total duration: 3.6874e-05, First move duration: 3.6874e-05
Solution from (146,153), to (143,153). Optimal cost: 3, Found cost: 3, Expanded: 16, Generated: 48, Total duration: 5.3932e-05, First move duration: 5.3932e-05
Solution from (380,99), to (380,100). Optimal cost: 1, Found cost: 1, Expanded: 10, Generated: 18, Total duration: 2.5932e-05, First move duration: 2.5932e-05
Solution from (213,84), to (217,84). Optimal cost: 4, Found cost: 4, Expanded: 15, Generated: 27, Total duration: 3.8658e-05, First move duration: 3.8658e-05
Solution from (300,408), to (306,411). Optimal cost: 7.24264, Found cost: 7.82843, Expanded: 32, Generated: 78, Total duration: 7.8696e-05, First move duration: 7.8696e-05
Solution from (197,162), to (204,161). Optimal cost: 7.41421, Found cost: 7.41421, Expanded: 28, Generated: 83, Total duration: 7.8931e-05, First move duration: 7.8931e-05
Solution from (301,342), to (296,345). Optimal cost: 6.24264, Found cost: 6.24264, Expanded: 21, Generated: 74, Total duration: 6.2834e-05, First move duration: 6.2834e-05
Solution from (247,411), to (242,412). Optimal cost: 5.41421, Found cost: 5.41421, Expanded: 16, Generated: 40, Total duration: 4.0202e-05, First move duration: 4.0202e-05
Solution from (277,395), to (274,392). Optimal cost: 4.24264, Found cost: 4.24264, Expanded: 17, Generated: 53, Total duration: 4.8503e-05, First move duration: 4.8503e-05
Solution from (114,419), to (113,426). Optimal cost: 7.41421, Found cost: 8.24264, Expanded: 32, Generated: 86, Total duration: 8.3109e-05, First move duration: 8.3109e-05
Solution from (364,363), to (367,360). Optimal cost: 4.24264, Found cost: 4.82843, Expanded: 16, Generated: 41, Total duration: 4.3189e-05, First move duration: 4.3189e-05
Solution from (97,306), to (90,306). Optimal cost: 7, Found cost: 7, Expanded: 24, Generated: 80, Total duration: 7.5109e-05, First move duration: 7.5109e-05
Solution from (63,115), to (67,117). Optimal cost: 4.82843, Found cost: 5.41421, Expanded: 23, Generated: 45, Total duration: 5.3905e-05, First move duration: 5.3905e-05
